year,path,file,category,md5sum,is_well_formed,num_vars,num_clauses,num_unary_clauses,num_binary_clauses,num_ternary_clauses,num_large_clauses,num_generators,percent_sym_vars,is_only_involution,is_inverting_perm,num_orbits
2018,2018/all/final/Collatz/5or7mod8.rules.7-7.cnf,5or7mod8.rules.7-7.cnf,unknown,0024042d408dcfd0aa6eac6a921a7cd6,1,131369,855596,63,313439,540029,0,10,35,1,0,7504
2017,2017/all/NoLimits/g2-ak128modbtsimpbaig.cnf,g2-ak128modbtsimpbaig.cnf,unknown,00385921980d6fda254e88c624a029f8,1,542796,1626093,1,1084062,542030,0,0,0,1,0,0
2016,2016/app/NoLimits/g2-ak128modbtsimpbaig.cnf,g2-ak128modbtsimpbaig.cnf,unknown,00385921980d6fda254e88c624a029f8,1,542796,1626093,1,1084062,542030,0,0,0,1,0,0
2014,2014/app/sc14-app/bob12s02.cnf,bob12s02.cnf,bob,004988bdac79ce575cd91f3c8dc772f4,1,26294,77920,1,51946,25973,0,4,98,1,0,12802
2015,2015/all/bob12s02.cnf,bob12s02.cnf,bob,004988bdac79ce575cd91f3c8dc772f4,1,26294,77920,1,51946,25973,0,4,98,1,0,12802
2017,2017/all/NoLimits/g2-slp-synthesis-aes-top28.cnf,g2-slp-synthesis-aes-top28.cnf,unknown,005e29e99454a24085199b085e720b2f,1,88763,282870,1,171374,109718,1777,0,0,1,0,0
2016,2016/app/NoLimits/g2-slp-synthesis-aes-top28.cnf,g2-slp-synthesis-aes-top28.cnf,unknown,005e29e99454a24085199b085e720b2f,1,88763,282870,1,171374,109718,1777,0,0,1,0,0
2014,2014/app/sc14-app/slp-synthesis-aes-top28.cnf,slp-synthesis-aes-top28.cnf,unknown,005e29e99454a24085199b085e720b2f,1,88763,282870,1,171374,109718,1777,0,0,1,0,0
2012,2012/app/Application SAT+UNSAT/SATCompetition2011/application/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top28.cnf,slp-synthesis-aes-top28.cnf,unknown,005e29e99454a24085199b085e720b2f,1,88763,282870,1,171374,109718,1777,0,0,1,0,0
2012,2012/hard/Hard Combinatorial SAT+UNSAT/SATChallenge2012_crafted_debugged/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf.mis-119.debugged.cnf,mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf.mis-119.debugged.cnf,unknown,0072e0ed30c7ca8f5c4ce98b44bee1e7,1,19081,38322,118,19560,18644,0,0,0,1,0,0
2012,2012/hard/Hard Combinatorial SAT+UNSAT/SC2012 Hard Combinatorial/satcomp11-main-track-unselected/SAT11/crafted/skvortsov/battleship/battleship-3-4-unsat.cnf,battleship-3-4-unsat.cnf,battleship,00beff259739074ff25a6dde1d433053,1,12,21,0,12,0,9,5,100,0,0,2
2014,2014/app/sc14-app/aaai10-planning-ipc5-TPP-21-step11.cnf,aaai10-planning-ipc5-TPP-21-step11.cnf,planning,00d93f117a3253605ad3ac6a153ec61f,1,99736,783991,139,756759,7636,19457,2,1,1,0,2
2013,2013/app/satchal12-selected/Application_SAT+UNSAT/SATCompetition2011/application/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-TPP-21-step11.cnf,aaai10-planning-ipc5-TPP-21-step11.cnf,planning,00d93f117a3253605ad3ac6a153ec61f,1,99736,783991,139,756759,7636,19457,2,1,1,0,2
2012,2012/app/Application SAT+UNSAT/SATCompetition2011/application/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-TPP-21-step11.cnf,aaai10-planning-ipc5-TPP-21-step11.cnf,planning,00d93f117a3253605ad3ac6a153ec61f,1,99736,783991,139,756759,7636,19457,2,1,1,0,2
2015,2015/all/aaai10-planning-ipc5-TPP-21-step11.cnf,aaai10-planning-ipc5-TPP-21-step11.cnf,planning,00d93f117a3253605ad3ac6a153ec61f,1,99736,783991,139,756759,7636,19457,2,1,1,0,2
2018,2018/all/final/CRIL/T62.2.0.cnf,T62.2.0.cnf,t,00e10902fc7e6c6005628444c1390490,1,3160296,10898509,0,4744883,5688768,109087,325,1,1,0,3484
